TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
40 100130 BAMBERG 1.3 0 49.8718 10.9197 240 
41 100135 BERLIN-DAHLEM 0 0 52.4583 13.301 51 
42 100140 BREMEN 0 0 53.0412 8.79283 4 
43 102300 DRESDEN-KLOTZSCHE 0 0 51.1242 13.7535 227 
44 100150 FRANKFURT 4.6 0 50.0412 8.59233 112 
45 100155 HALLE -9999 9 51.5087 11.9503 93 
46 100160 HAMBURGBERGEDORF -9999 9 53.475 10.239 35 
47 100164 HAMBURGFUHLSBUETTEL 0 0 53.6343 9.98733 11 
48 100169 HOHENPEISSENBERG 0.7 0 47.801 11.007 977 
49 100174 JENASTERNWARTE 0 0 50.9227 11.5838 155 
50 100179 KAISERSLAUTERN 1.9 0 49.4218 7.73533 285 
51 111503 RHEINSTETTEN 3.5 0 48.9707 8.32517 116 
52 100189 MUENCHEN 1.7 0 48.1585 11.5398 515 
53 126334 MUENSTER -9999 9 51.9503 7.58817 62 
54 100199 POTSDAM 0 0 52.3833 13.0583 81 
55 100204 SCHWERIN 0 0 53.6398 11.3863 59 
56 100209 STUTTGART -9999 9 48.7688 9.17617 401 
57 129430 TRIER-ZEWEN 1.1 0 49.7262 6.60783 132 
58 100219 ZUGSPITZE 0.4 0 47.4198 10.9853 2964 
324 102260 LINDENBERG 0 0 52.2057 14.1188 98 
356 109324 AACHEN 4 0 -9999 -9999 -9999 
467 102169 UFSTWEMS -9999 9 54.1667 6.35 0 
468 102177 HELGOLAND 0 0 54.1725 7.88917 4 
469 102185 LIST/SYLT 0 0 55.0075 8.4075 26 
470 102193 SCHLESWIG 0 0 54.524 9.54283 43 
471 102201 WESTERMARKELSDORF/FEHMARN 0 0 54.5243 11.057 3 
472 102212 ROSTOCK-WARNEMUNDE 0 0 54.1757 12.0758 4 
473 102220 GREIFSWALD 0 0 54.092 13.4045 2 
474 102228 EMDEN-FLUGPLATZ 0 0 53.3868 7.22267 0 
475 102236 NEURUPPIN 0 0 52.9032 12.805 38 
476 102244 HANNOVER 0 0 52.4593 9.67433 55 
477 102252 MAGDEBURG 0 0 52.1018 11.5838 76 
479 102268 DUSSELDORF 0.9 0 51.2915 6.76867 37 
480 102276 KASSEL -9999 9 51.292 9.43933 231 
481 102284 FRITZLAR 0.2 0 51.1167 9.2765 174 
482 102292 LEIPZIG-SCHKEUDITZ 0 0 51.4348 12.2382 131 
483 102300 DRESDEN-KLOTZSCHE 0 0 51.1242 13.7535 227 
484 102308 GORLITZ 0 0 51.1578 14.9518 238 
485 102324 NURBURG-BARWEILER 2.4 0 50.3565 6.86883 485 
486 102332 MEININGEN 0 0 50.5575 10.3728 450 
487 102340 ERFURT-BINDERSLEBEN 0.2 0 50.984 10.9578 316 
488 102348 FICHTELBERG 0 0 50.4242 12.9532 1213 
489 102356 WURZBURG 0.5 0 49.7695 9.95533 268 
490 102364 HOF 0 0 50.3078 11.8732 565 
