TYPE ECA
VALUE tg
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
40 100128 BAMBERG 12.5 0 49.8718 10.9197 240 
41 100133 BERLIN-DAHLEM 13.7 0 52.4583 13.301 51 
42 100138 BREMEN 13.1 0 53.0412 8.79283 4 
43 102302 DRESDEN-KLOTZSCHE 13.6 0 51.1242 13.7535 227 
44 100148 FRANKFURT 14.7 0 50.0412 8.59233 112 
45 100153 HALLE -9999 9 51.5087 11.9503 93 
46 123240 HAMBURGBERGEDORF -9999 9 53.475 10.239 35 
47 111417 HAMBURGFUHLSBUETTEL 13.1 0 53.6343 9.98733 11 
48 100167 HOHENPEISSENBERG 10.9 0 47.801 11.007 977 
49 100172 JENASTERNWARTE 14 0 50.9227 11.5838 155 
50 100177 KAISERSLAUTERN 13.9 0 49.4218 7.73533 285 
51 111506 RHEINSTETTEN 14.4 0 48.9707 8.32517 116 
52 100187 MUENCHEN 13.4 0 48.1585 11.5398 515 
53 126336 MUENSTER -9999 9 51.9503 7.58817 62 
54 100197 POTSDAM 14.1 0 52.3833 13.0583 81 
55 100202 SCHWERIN 12.8 0 53.6398 11.3863 59 
56 100207 STUTTGART -9999 9 48.7688 9.17617 401 
57 129432 TRIER-ZEWEN 14 0 49.7262 6.60783 132 
58 100217 ZUGSPITZE -4.3 0 47.4198 10.9853 2964 
324 102262 LINDENBERG 13.7 0 52.2057 14.1188 98 
356 102318 AACHEN -9999 9 50.7837 6.09033 202 
467 102171 UFSTWEMS 11.2 0 54.1667 6.35 0 
468 102179 HELGOLAND 12.2 0 54.1725 7.88917 4 
469 102187 LIST/SYLT 12 0 55.0075 8.4075 26 
470 102195 SCHLESWIG 12.6 0 54.524 9.54283 43 
471 102203 WESTERMARKELSDORF/FEHMARN 12.1 0 54.5243 11.057 3 
472 102214 ROSTOCK-WARNEMUNDE 13.4 0 54.1757 12.0758 4 
473 102222 GREIFSWALD 13 0 54.092 13.4045 2 
474 102230 EMDEN-FLUGPLATZ 13.3 0 53.3868 7.22267 0 
475 102238 NEURUPPIN 13.3 0 52.9032 12.805 38 
476 102246 HANNOVER 13.4 0 52.4593 9.67433 55 
477 102254 MAGDEBURG 13.9 0 52.1018 11.5838 76 
479 102270 DUSSELDORF 14.8 0 51.2915 6.76867 37 
480 102278 KASSEL -9999 9 51.292 9.43933 231 
481 102286 FRITZLAR 13 0 51.1167 9.2765 174 
482 102294 LEIPZIG-SCHKEUDITZ 13.4 0 51.4348 12.2382 131 
483 102302 DRESDEN-KLOTZSCHE 13.6 0 51.1242 13.7535 227 
484 102310 GORLITZ 12.8 0 51.1578 14.9518 238 
485 102326 NURBURG-BARWEILER 11.6 0 50.3565 6.86883 485 
486 102334 MEININGEN 11.3 0 50.5575 10.3728 450 
487 102342 ERFURT-BINDERSLEBEN 12.7 0 50.984 10.9578 316 
488 102350 FICHTELBERG 5.9 0 50.4242 12.9532 1213 
489 102358 WURZBURG 14.1 0 49.7695 9.95533 268 
490 102366 HOF 11 0 50.3078 11.8732 565 
491 102374 SAARBRUCKEN/ENSHEIM 12.8 0 49.2085 7.10483 320 
492 102382 NURNBERG 12.4 0 49.5025 11.054 314 
493 102390 STRAUBING 10.5 0 48.8237 12.5562 351 
494 102398 AUGSBURG 12 0 48.4225 10.9392 461 
495 102406 KONSTANZ 13.8 0 47.6735 9.18783 443 
496 102414 KEMPTEN 12 0 47.7212 10.3352 705 
812 111460 KAHLERASTEN(WST) 8.9 0 51.1757 8.48733 839 
2006 114623 BROCKEN 5.8 0 51.8 10.6187 1142 
2758 111433 MUENSTER/OSNABRUECK(AIRPORT) 14.1 0 52.1345 7.7 48 
2759 111448 BERLIN-TEMPELHOF 15 0 52.4677 13.4023 48 
2760 111477 TRIER-PETRISBERG 13.4 0 49.7428 6.6555 265 
2761 100148 FRANKFURT 14.7 0 50.0412 8.59233 112 
2762 111506 RHEINSTETTEN 14.4 0 48.9707 8.32517 116 
2763 111515 STUTTGART/ECHTERDINGEN 13.1 0 48.6868 9.22183 371 
2764 111527 MUENCHEN-FLUGHAFEN 12.2 0 48.3548 11.8055 444 
3506 115773 STUTTGART-SCHNARRENBERG 14 0 48.8242 9.2005 314 
3986 120924 LEUCHTTURMALTEWESER 12.3 0 53.8578 8.12317 32 
3987 120936 FELDBERG/SCHWARZWALD 5.7 0 47.872 8.00267 1490 
3988 120948 FREUDENSTADT 11.4 0 48.4527 8.406 797 
3989 120960 AACHEN-ORSBACH 13.3 0 50.7928 6.02167 231 
3990 120972 GERA-LEUMNITZ 12.2 0 50.8758 12.1247 311 
3991 120984 GIESSEN/WETTENBERG 13.3 0 50.6005 8.65033 203 
3992 120996 ANGERMUNDE 13.3 0 53.0265 13.9892 54 
3993 121008 GROSSERARBER 4.5 0 49.1083 13.1345 1436 
3994 121020 ARKONA 11 0 54.6757 13.4353 42 
3995 121032 KIEL-HOLTENAU 13 0 54.372 10.1397 27 
3996 121044 KOLN-BONN 14.6 0 50.8595 7.155 92 
3997 121056 LAHR 15.2 0 48.3593 7.824 155 
3998 121068 LEUCHTTURMKIEL 12 0 54.5002 10.2713 5 
3999 121080 BADLIPPSPRINGE 13.7 0 51.7853 8.837 157 
4000 121092 MARNITZ 13.1 0 53.3212 11.9333 81 
4001 121104 NORDERNEY 12.6 0 53.7083 7.1515 11 
4002 121116 OBERSTDORF 11.2 0 47.3927 10.2727 806 
4003 121128 OHRINGEN 14 0 49.2048 9.51767 276 
4004 121140 REGENSBURG 11.3 0 49.0393 12.1018 365 
4005 121152 BERLIN-TEGEL 14.7 0 52.5593 13.3063 36 
4006 121164 STOTTEN 11.4 0 48.6667 9.85933 734 
4007 121176 WASSERKUPPE 9 0 50.492 9.93967 921 
4008 121188 WEIDEN 11.8 0 49.6668 12.1847 440 
4009 121200 WENDELSTEIN -9999 9 47.7025 12.0078 1832 
4010 121212 FURSTENZELL 11.6 0 48.5408 13.3527 476 
4011 121224 HAHN 12 0 49.9418 7.25867 497 
4012 121236 MANNHEIM 15.4 0 49.506 8.553 96 
4013 121248 OFFENBACH-WETTERPARK 14.6 0 50.0868 8.78517 119 
4014 121260 COTTBUS 13.6 0 51.7732 14.3177 69 
4015 121272 CUXHAVEN 13 0 53.8705 8.704 5 
4016 121284 UFSDEUTSCHEBUCHT 11.3 0 54.1667 7.45 0 
4017 121296 BAD-HEILIGENDAMMDOBERAN -9999 9 54.1407 11.8413 3 
4018 121308 DOBERLUG-KIRCHHAIN 13.5 0 51.6413 13.5727 97 
4019 121320 DOMITZ -9999 9 53.1382 11.2533 15 
4020 122712 GEISINGEN 10.9 0 47.9217 8.64217 672 
4021 121344 DORTMUND -9999 9 51.5078 7.5345 120 
4022 121356 DRESDEN-HOSTERWITZ 13.8 0 51.0207 13.843 114 
4023 121368 DRESDEN-STREHLEN 14.1 0 51.0218 13.772 119 
4024 121380 DREWITZBEIBURG 14.1 0 52.2177 12.159 80 
4025 121392 DUDERSTADT -9999 9 51.5032 10.2575 180 
4026 121404 BADDURKHEIM 15.1 0 49.4703 8.18967 107 
4027 121404 BADDURKHEIM 15.1 0 49.4703 8.18967 107 
4028 121428 BADDURRENBERG -9999 9 51.3033 12.0762 103 
4029 102270 DUSSELDORF 14.8 0 51.2915 6.76867 37 
4030 102270 DUSSELDORF 14.8 0 51.2915 6.76867 37 
4031 122100 DUISBURG-BAERL 14.3 0 51.506 6.70117 25 
4032 121476 EBELEBEN -9999 9 51.2757 10.7358 258 
4033 121488 EBERBACH/NECKAR -9999 9 49.4535 8.97417 176 
4034 121500 EBERSBACH/FILS -9999 9 48.7192 9.53367 300 
