Lat Lon Temperatur Niederschlag Sonnenschein Ort

50.7978761 5.9955801 10.6 8 22.6 Aachen-Orsbach
54.6781137 13.4266313 7.4 1.5 33.1 Arkona
48.3705449 10.89779 10.4 1.5 25.1 Augsburg
49.8988135 10.9027636 11.2 3.2 26.3 Bamberg
52.5910076 13.2709077 12.6 0 41.9 Berlin-Tegel
52.4575526 13.3911032 12.4 1.6 41.1 Berlin-Tempelhof
50.7395443 7.1893891 11.3 5.7 23.9 Bonn/Roleber
53.0792962 8.8016937 10.9 11.5 33.4 Bremen
51.7994234 10.6152185 5.4 13.2 33.4 Brocken
51.7563108 14.3328679 11.5 0.9 46.6 Cottbus
53.859336 8.6879057 9.6 11.2 27 Cuxhaven
51.1140289 13.7565062 11.2 1.6 44.6 Dresden-Klotzsche
53.3594029 7.2060095 9.7 10 25.1 Emden
50.9847679 11.0298799 10.1 0.5 k.A. Erfurt
54.4600619 11.1337406 8.1 7.5 24.8 Fehmarn
47.8589972 8.037044 6.1 15 12.2 Feldberg
49.9993924 11.8510785 6.2 3.1 41.9 Fichtelberg
50.1109221 8.6821267 11.5 10 17.7 Frankfurt
48.4644796 8.4179988 8.6 9.2 14.6 Freudenstadt
50.8806823 12.1355538 10.3 1.6 39.3 Gera-Leumnitz
54.0865463 13.3923414 9.9 5.2 33.3 Greifswald
49.9632914 7.2706997 8.5 5.7 10.7 Hahn
53.5510846 9.9936818 10.7 6.9 30.3 Hamburg
52.3758916 9.7320104 11.7 6.1 34.2 Hannover
54.1803268 7.8889438 8.1 10.2 28.6 Helgoland
50.3135391 11.9127814 9.6 3.8 37.9 Hof
47.7945375 11.0063951 11.4 3.4 23.9 Hohenpeissenberg
51.1805556 8.4875 6.5 17.1 24.6 Kahler Asten
51.3127114 9.4797461 10.1 4.6 27.8 Kassel
47.7285699 10.3157835 11.2 6.9 24.7 Kempten
54.3750839 10.1469849 9.7 9.6 24.9 Kiel-Holtenau
50.73743 7.0982068 11.5 6.6 21.8 Köln-Bonn
47.6779496 9.1732384 12.9 7.7 30.4 Konstanz
48.33915 7.8781487 10.9 17.3 12 Lahr
51.3396955 12.3730747 11.5 0.1 46.6 Leipzig
47.6033916 9.8879237 12.1 0 48.9 Lindenberg
55.019488 8.4291796 8.1 13.6 24.8 List/Sylt
52.1205333 11.6276237 11.9 0.6 39.2 Magdeburg
49.4874592 8.4660395 11.7 5.2 14.9 Mannheim
53.3181351 11.9278607 10.6 3.7 35.5 Marnitz
50.5739121 10.4190128 10.1 6.6 29.8 Meiningen
52.9154545 12.7990783 10.7 0.2 42.6 Neuruppin
53.7078132 7.143055 9.5 10.3 29.8 Norderney
47.4098581 10.2797448 11 4.2 18.3 Oberstdorf
50.0956362 8.7760843 11.4 11.1 24.1 Offenbach
52.3905689 13.0644729 12.1 2.7 45.7 Potsdam
49.0134297 12.1016236 11.9 1.2 34.3 Regensburg
54.0924406 12.0991466 9.7 5.2 33.2 Rostock
54.5239312 9.563227 9 16.7 24.3 Schleswig
53.6355022 11.4012499 10.5 11.1 29.8 Schwerin
48.8777333 12.5801538 12 0.6 40.4 Straubing
48.7758459 9.1829321 11 8.5 19.2 Stuttgart
49.749992 6.6371433 10.3 6.1 15.1 Trier
50.5 9.9333333 7.4 13.6 30.9 Wasserkuppe
49.6743636 12.1489337 11.2 1 43.2 Weiden
47.421066 10.9853652 -1 3 26 Zugspitze
